Dutch,English
ik,I
je,you
het,It
de,the
dat,that
is,is
een,An
niet,not 
en,and
wat,what
van,by
we,we
in,in
ze,she
hij,he
op,on
te,at
zijn,are
er,there
maar,but
die,that
heb,have
me,me
met,of
voor,for
als,as
ben,am
was,was
dit,this
mijn,mine
om,to
aan,On
jij,you
naar,Unpleasant
dan,than
hier,here
weet,knows
kan,can
geen,no
nog,yet
moet,must
wil,want to
wel,well
ja,Yes
zo,Like this
heeft,has
hebben,to have
hem,it
goed,Good
nee,no
waar,Where
nu,now
hoe,how
ga,go
haar,her
uit,out 
doen,doing
ook,also
over,about
bent,are
mij,me
gaan,to go
of,or
kom,come
zou,would
al,all
bij,bee
daar,there
ons,us
jullie,you
hebt,have
gaat,go
iets,something
zal,shall
meer,more
waarom,Why
had,had
deze,this
laat,leave
moeten,must
m'n,my
jou,you
doe,do
wie,Who
kunnen,be able to
alles,everything
denk,think
door,Through
echt,Real
alleen,only
oké,okay
eens,at sometime
dus,so
weg,road
zien,to see
toch,anyway
man,man
nooit,never
terug,back
laten,to leave
nou,Well
mee,along
misschien,maybe
even,even
iemand,someone
komt,comes
niets,nothing
zei,said
hou,hold
komen,come
mensen,people
onze,our
nodig,necessary
tot,to
worden,become
veel,a lot of
weten,know
leven,to live
wij,We
weer,weather
gewoon,Ordinary
kijk,look
zeggen,say
tijd,time
zeg,say
twee,two
toen,when
tegen,in return for
zit,sit
net,just
dood,dead
uw,your
wordt,is becoming
hé,Hey
maken,to make
mag,may
één,An
z'n,his
omdat,because
gedaan,done
heel,all
af,af
altijd,always
jouw,your
zeker,Certainly
geef,give
zie,see 
wacht,guard
allemaal,all
jaar,year
doet,do
dag,day
zij,she
hun,their
huis,house
vader,father
dank,thanks
dacht,thought
kunt,can
zoals,such as
vrouw,woman
keer,time
anders,otherwise
andere,other
willen,want
erg,terribly
spijt,regret
bedankt,Thank you
niemand,no one
wilt,want
geld,money
zitten,to sit
niks,nothing
iedereen,everyone
binnen,inside
staat,stands
wilde,wild
zich,himself
beter,better
werk,work
praten,talk
gezien,seen
zullen,shall
waren,were
god,God
maak,make
neem,take
vinden,find
vind,find
moeder,mother
kon,could
uur,o'clock
klaar,finished
genoeg,enough
helpen,to help
oh,Oh
hele,whole
drie,three
vast,fixed
na,after
hallo,Hello
leuk,nice
sorry,Sorry
alle,all
elkaar,each other
toe,too
wist,knew
zegt,say
bedoel,I mean
blijf,stay
alsjeblieft,please
lang,long
meneer,sir
ziet,sees
maakt,makes
luister,listen
dingen,things
mooi,Nice
werd,became
eerste,first
graag,Please
natuurlijk,Naturally
houden,keep
zonder,without
steeds,still
krijgen,to get
grote,big
achter,behind
helemaal,absolutely
naam,name
gek,crazy
blijven,to stay
onder,under
vriend,friend
geweest,been
kijken,to look
geven,give
ging,went
vertellen,narrate
ooit,ever 
snel,fast
hand,hand
idee,idea
goede,good  
auto,auto
kwam,came
verdomme,damn it
beetje,bit
moest,had to
kinderen,children
wanneer,when
gebeurd,happened
jongen,boy
bang,afraid
vraag,ask
lijkt,seems
geweldig,amazing
paar,pair
hoor,hear
laatste,last
deed,did
nieuwe,new
vragen,to ask
kun,can
zag,saw
zorgen,to assure
staan,to stand
wereld,world
eten,to eat
jongens,boys
enige,only
zelf,yourself
want,because
nemen,to take
heen,to
zo'n,Sun
beste,best
ken,know
vandaag,Today
zelfs,even
ie,ie
gezegd,said
hadden,had
vertel,tell
eerst,first
gevonden,found
zoon,son
buiten,outside
samen,together
denken,think
geloof,believe
morgen,tomorrow
geleden,past
meisje,girl
thuis,At home
denkt,thinks
rustig,Calm
mannen,men
halen,to fetch 
probleem,problem
hen,them
stop,Stop
eigen,own
kleine,small
hoop,heap
wou,wish
vermoord,murdered
elke,each  
krijg,get
horen,to belong
gelijk,directly
bijna,almost
zouden,would
open,Open
orde,order
begrijp,understand
hoofd,head
gebeurt,happens
kant,side
vrienden,friends
houdt,holds
eigenlijk,actually
alsof,as if
pak,pack
geeft,gives
politie,Police
precies,precisely
wachten,to wait
familie,family
verder,further
zat,fed up
soms,sometimes
werken,work
bel,bell
voel,feel
kind,child
probeer,try
ding,thing
minuten,minutes
krijgt,gets
zet,sets
vijf,five
gehad,had
haal,get
gemaakt,made
hè,Hey
manier,way
dagen,to dawn
zoek,search
heet,is called
volgende,next
daarom,therefore
gehoord,heard
pas,pass
werkt,works
vanavond,this evening
volgens,according to
best,best
pijn,pain
kans,chance
eruit,out
help,Help
plaats,place
hoeveel,how many
vroeg,early
oude,old
stad,city
zoeken,to search
ogen,eyes
jezelf,yourself
geloven,to believe
moment,moment
kamer,room
schiet,shoot
vier,four
vindt,finds
word,word
agent,agent
slecht,bad
verteld,told
brengen,to take
blij,pleased
hulp,staff
welke,which
blijft,stays
ligt,is
broer,brother
school,school
tussen,between
deur,door
spreken,speak
plan,plan
dollar,dollar
handen,hands
ergens,somewhere
dr.,Dr.
klopt,Correct
breng,bring
dokter,doctor
juist,correct
vond,found
praat,talk
prima,fine
betekent,means
soort,kind
zaak,case
proberen,try
jack,Jack
spelen,to play
lekker,Tasty
doden,deaths
gebruiken,to use
groot,big
kent,knows
boven,above
water,water
problemen,problems
land,land
sta,stand
later,later
papa,dad
This,This
pakken,to take
week,week
schat,Darling
voordat,before
zoveel,so much
vrij,free
echte,real
stoppen,fuses
klootzak,asshole
beginnen,start
alstublieft,Please
zodat,so that
zorg,concern
mooie,nice
wees,be
vermoorden,murder
mis,miss
vooruit,forward
bellen,to call
dochter,daughter
vrouwen,women
tien,ten
hoeft,needs
lopen,to walk
hart,heart
snap,snap
voorbij,past
los,loose
vergeten,forget
gebeuren,to happen
bloed,blood
druk,Busy
verhaal,story
moeilijk,difficult
hoi,hi
zes,six
eerder,earlier
neer,down
ervan,of it
bed,bed
nacht,night
bezig,busy
wakker,awake
redden,to rescue
klein,small
gekomen,came
sinds,since
kop,header
zult,will
begrepen,understood
plek,place
veilig,safe
stel,couple
vol,full
nummer,number
waarheid,truth
zoiets,something like that
mevrouw,Madam
leren,learning
hetzelfde,the same
gaf,gave
baby,baby
baas,boss
gelukkig,happy
meteen,immediately
beneden,downstairs
waarschijnlijk,probably
sterven,die
gezicht,sight
begin,start
mogelijk,possible
mama,mom
dicht,closed
zaken,business
liggen,lie
nieuws,news
ander,other
eraan,to it
liefde,love
slapen,to sleep
ver,far
reden,rode
fout,wrong
vallen,traps
maanden,months
mogen,to be allowed to
oud,old
vergeet,forgets
voelt,feels
vent,guy
sir,sir
hoorde,heard
hoort,belongs
klinkt,sounds
terwijl,while
vriendin,girlfriend
welkom,Welcome
team,team
rond,around
president,president
oorlog,war
duidelijk,clearly
jaren,years
rest,rest
schuld,debt
avond,evening
eerlijk,honestly
fijn,fine
mond,mouth
buurt,neighbourhood
drinken,drinks
telefoon,telephone
per,per
wapen,weapon
liet,let
belangrijk,important
kreeg,got
ouders,parents
stuk,piece
rust,rest
vandaan,from
kennen,know
Jezus,Jesus
deel,part 
baan,track
kapitein,captain
erop,on top
geluk,happiness
dezelfde,same
overal,everywhere
schip,ship
heren,Gentlemen
gegeven,datum
anderen,others
zeer,very
langs,by
mam,mom
recht,right
lichaam,body
aardig,nice
vertrouwen,to trust
ermee,with it
neemt,takes
vanaf,from
vaak,often
boek,book
mezelf,myself
zetten,to make
stil,quiet
ok,OK
kerel,guy
betalen,pay
geval,case
miljoen,million
tweede,second
haat,hate
hard,hard
inderdaad,indeed
woord,word
stond,stood
hond,dog
straks,soon
weken,to soften
film,film
antwoord,answer
veranderen,change
licht,light
houd,loves
pa,pa
tijdens,during the day
lieverd,Darling
liever,rather
kwaad,angry
ontmoet,meet
nergens,nowhere
gebruikt,used
schatje,sweetie
verloren,lost
koning,king
nieuw,new
elk,each
erin,in it
ontmoeten,meet
vechten,to fight
voorzichtig,carefully
geworden,become
enkel,single
kwijt,lost
noemen,to call
valt,fall
prachtig,beautiful
rijden,to ride
zin,sentence
hield,held
daarna,then
mens,man
schieten,to shoot
grappig,funny
stap,step
zichzelf,himself
kantoor,office
wapens,weapons
normaal,normal
slechte,bad
maakte,made
moord,murder
gebeld,called
ervoor,for it
ten,ten
heer,gentleman
loopt,walks
einde,end
gegaan,gone
gang,hallway
vertelde,told
spel,game
informatie,information
frank,Frank
dames,ladies
naartoe,to
allebei,both
leg,lay
acht,eight
pap,porridge
seks,sex
minder,fewer
gevoel,feeling
trouwen,to marry
nogal,rather
eh,uh
voelen,feel
begint,begins
plezier,pleasure
meisjes,girls
stuur,send
foto,photo
vreemd,foreign
zomaar,just like that
verkeerd,wrong
zeven,seven
lucht,air
grond,ground
leeft,lives
nam,took
pardon,pardon
verwacht,expected
kopen,buy
koffie,coffee
onderzoek,research
gesproken,spoken
herinner,remember
idioot,idiot
ziekenhuis,Hopital
daarmee,with that
shit,shit
eindelijk,finally
perfect,perfect
goeie,good
gisteren,yesterday
aarde,Earth
contact,contact
zus,sister
erbij,there
beschermen,protect
gevangenis,prison
persoon,person
winnen,win
kracht,power
ziek,sick
omhoog,upwards
beloof,promise
gebruik,usage
hoezo,why
degene,the one
trek,trek
meen,I think
enkele,a few
getrouwd,married
gevraagd,asked
New,New
verdomde,damned
hierheen,here
punt,point
toekomst,future
probeerde,tried
half,half
leger,army
waard,worth
opnieuw,again
val,fall
vuur,firework
bewijs,proof
controle,control
stellen,to set
tv,TV
loop,loop
woorden,words
droom,dream
begrijpen,understand
eet,eat
bedoelt,means
onzin,nonsense
serieus,serious
konden,could
nietwaar,isn't that right
verlaten,to leave
pistool,pistol
gekregen,received
men,men
brengt,brings
fantastisch,fantastic
trots,proud
ziens,goodbye
ongeluk,accident
geheim,secret
vroeger,earlier
veranderd,changed
eentje,one
werden,were
begon,began
verliezen,to lose
probeert,tries
vliegtuig,aeroplane
let,let
slim,smart
juiste,right one
langer,longer
slaap,sleep
lezen,read
ongeveer,about
behalve,except
meid,girl
oom,uncle
gered,saved
bank,bank
generaal,general
dienst,employ
tenminste,at least
lief,love
noem,name
gedood,killed
vraagt,asks
boos,angry
spullen,stuff
volgen,to follow
sturen,to steer
hemel,heaven
makkelijk,comfortable
ter,for
genomen,taken
grootste,largest
gebeurde,happened
kwamen,came
excuseer,excuse
meter,meter
weinig,few
iedere,every
moordenaar,murderer
luisteren,listen
begrijpt,understands
gevaar,danger
ieder,every
sommige,some
via,via
succes,success
vertrekken,to leave
muziek,music
gestolen,stolen
meest,most
hoef,hoof
advocaat,lawyer
kijkt,looks
helpt,helps
afspraak,appointment
maand,month
zwarte,black
seconden,seconds
sterk,strong
foto's,photos
lijken,corpses
geest,spirit
gingen,went
straat,street
slechts,only
verkeerde,wrong
slaan,to strike
FBI,FBI
afgelopen,last
hotel,hotel
bekend,known
ene,one
ruimte,room
lange,long
trouwens,Incidentally
feest,party
vliegen,to fly
boot,boat
meester,master
doel,goal
zolang,as long as
regels,lines
stomme,stupid
begonnen,started
zak,bag
absoluut,absolute
spreek,speak
stom,stupid
bestaat,consists
welk,which
gevaarlijk,dangerous
jawel,yes indeed
mocht,may
goedemorgen,Good morning
wilden,wanted
erger,worse
vreselijk,terrible
zodra,as soon as
geraakt,touched
nadat,once
vertrouw,trust
kolonel,colonel
voelde,felt
kleren,clothes
rug,back
naast,next to
totdat,until
verliefd,in love
lukt,succeeds
wonen,living
lieve,dear
gaten,holes
raar,weird
geprobeerd,tried
geleerd,learned
